DATE,Order,Bill To,Ship To,Name of Item,Ordered,Rate
,,,,AQABA 60V,4 NOS,181999.99
,,,,,,
17-May-26,HR-PI/2627/814,SIDANA TELECOM,SIDANA TELECOM,RUBIE 60V,2 NOS,67999.99
,,,,DUSTER 60V,6 NOS,177000.01
,,,,DRAGGER 60V,2 NOS,65000.00
,,,,,,
17-May-26,HR-PI/2627/813,M/S AULAKH MOTORS,M/S AULAKH MOTORS,AQABA 60V,10 NOS,441500.01
,,,,,,
17-May-26,HR-PI/2627/812,HARE KRISHNA E-BIKES,HARE KRISHNA E-BIKES,RUBIE 60V,30 NOS,989999.95
,,,,,,
17-May-26,HR-PI/2627/811,KHURANA  AUTOMOBILE,KHURANA  AUTOMOBILE,RUBIE 60V 43Ah,12 NOS,456000.05
,,,,DUSTER 60V,20 NOS,574999.95
,,,,,,
17-May-26,HR-PI/2627/810,SHRUTI SHRI AUTOMOBILE,DAINIK SALES,RUBIE 60V,10 NOS,339999.98
,,,,RUBIE 60V 43Ah,3 NOS,114000.01
,,,,RUBIE 72V,3 NOS,106499.99
,,,,,,
17-May-26,HR-PI/2627/809,SHRUTI SHRI AUTOMOBILE,M/S PRAKHAR SALES,RUBIE 60V,12 NOS,395999.98
,,,,AQABA 60V,12 NOS,521999.98
,,,,,,
17-May-26,HR-PI/2627/808,VINAYAK E BIKES,RIDDHI EV VEHICLES,RUBIE 60V 43Ah,5 NOS,200000.01
,,,,ZUNAID 60V 43Ah,5 NOS,214999.99
,,,,DUSTER 60V,5 NOS,147500.01
,,,,AQABA 60V,5 NOS,227499.98
,,,,,,
17-May-26,HR-PI/2627/807,VINAYAK E BIKES,RIDDHI EV VEHICLES,RUBIE 60V 43Ah,5 NOS,200000.01
,,,,ZUNAID 60V 43Ah,5 NOS,214999.99
,,,,DUSTER 60V,5 NOS,147500.01
,,,,AQABA 60V,5 NOS,227499.98
,,,,,,
17-May-26,HR-PI/2627/806,MERAKI INNOVATION,MERAKI INNOVATION,RUBIE 60V,20 NOS,659999.97
,,,,DUSTER 60V,20 NOS,574999.95
,,,,,,
17-May-26,HR-PI/2627/805,"GANPATI AUTOMOBILES , HALDOUR",GORI ELECTRIC SCOOTERS,DRAGGER 60V,5 NOS,159249.98
,,,,RUBIE 60V 43Ah,12 NOS,463799.95
,,,,DUSTER 60V,15 NOS,435000.04
,,,,,,
17-May-26,HR-PI/2627/804,GREEN WORLD ENTERPRICS,GREEN WORLD ENTERPRICS,RUBIE 60V,10 NOS,343499.95
,,,,DUSTER 60V,10 NOS,300000.03
,,,,,,
17-May-26,HR-PI/2627/803,GREEN WORLD ENTERPRICS,DREAM ENTERPRISE,RUBIE 48V,20 NOS,616999.95
,,,,,,
17-May-26,HR-PI/2627/802,SHINE ELECTRORIDE,SHINE ELECTRORIDE,RUBIE 60V,10 NOS,333499.95
,,,,RUBIE 60V 43Ah,10 NOS,386499.96
,,,,DUSTER 60V,20 NOS,580000.05
,,,,,,
17-May-26,HR-PI/2627/801,SRI SARAVANA MOTORS,SRI SARAVANA MOTORS,DUSTER 60V,40 NOS,1180000.08
,,,,,,
01-May-26,PO-INV-1-2-2026-00001,K.K MANI ELECTRIC BIKE,K.K MANI ELECTRIC BIKE,SPARROW X 72V 33AH,10 NOS,480000.05
